condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
lattice,unconditional,0,0.0041228612657184084,0,0.5044000000000001,0.522,0.2941714781854854
lattice,unconditional,0,0.0041228612657184084,20,0.502,0.5332000000000001,0.15320910768156368
lattice,unconditional,0,0.0041228612657184084,40,0.5182000000000001,0.6146,0.12932739477430427
lattice,unconditional,0,0.0041228612657184084,60,0.5254,0.5968000000000001,0.13731809793572589
lattice,unconditional,0,0.0041228612657184084,80,0.5316,0.6028,0.14392308813129823
lattice,unconditional,0,0.0041228612657184084,100,0.5268,0.6002,0.15141061380299484
lattice,unconditional,0,0.0041228612657184084,120,0.5354,0.6244,0.14905723362141127
lattice,unconditional,0,0.0041228612657184084,140,0.5336,0.6268,0.14836730429054065
lattice,unconditional,0,0.0041228612657184084,160,0.5364,0.6444,0.1469384570251069
lattice,unconditional,0,0.0041228612657184084,180,0.5484,0.6484000000000001,0.1446570642919558
lattice,unconditional,0,0.0041228612657184084,200,0.5508000000000001,0.6564,0.14226912752957221
lattice,unconditional,1,0.0041228612657184084,0,0.4978000000000001,0.5396,0.2846610433732736
lattice,unconditional,1,0.0041228612657184084,20,0.5154,0.5926,0.14990206239741277
lattice,unconditional,1,0.0041228612657184084,40,0.5604,0.6764000000000001,0.12983445128608437
lattice,unconditional,1,0.0041228612657184084,60,0.6024,0.7088,0.1281268359325421
lattice,unconditional,1,0.0041228612657184084,80,0.6374,0.7397999999999999,0.13020207041892384
lattice,unconditional,1,0.0041228612657184084,100,0.6431999999999999,0.7460000000000001,0.12899056393820846
lattice,unconditional,1,0.0041228612657184084,120,0.647,0.7576,0.13263259456549853
lattice,unconditional,1,0.0041228612657184084,140,0.6762,0.7827999999999998,0.1328019558186882
lattice,unconditional,1,0.0041228612657184084,160,0.6852000000000001,0.7884000000000002,0.13009233916163593
lattice,unconditional,1,0.0041228612657184084,180,0.6901999999999999,0.7974,0.12839304351870431
lattice,unconditional,1,0.0041228612657184084,200,0.6978,0.8009999999999999,0.1297638007226215
lattice,unconditional,2,0.0041228612657184084,0,0.5024000000000001,0.5232,0.28881926161221333
lattice,unconditional,2,0.0041228612657184084,20,0.5127999999999999,0.5352,0.14863733906885587
lattice,unconditional,2,0.0041228612657184084,40,0.5264,0.5968,0.12564978650576505
lattice,unconditional,2,0.0041228612657184084,60,0.545,0.6352,0.12637187310115586
lattice,unconditional,2,0.0041228612657184084,80,0.563,0.6694,0.13125904442657385
lattice,unconditional,2,0.0041228612657184084,100,0.6085999999999999,0.709,0.13282358274726935
lattice,unconditional,2,0.0041228612657184084,120,0.6204,0.7152000000000001,0.13560524280925132
lattice,unconditional,2,0.0041228612657184084,140,0.6195999999999999,0.7132,0.13385625922118935
lattice,unconditional,2,0.0041228612657184084,160,0.615,0.7128000000000001,0.13701974808726666
lattice,unconditional,2,0.0041228612657184084,180,0.6139999999999999,0.7104000000000003,0.13934391241324293
lattice,unconditional,2,0.0041228612657184084,200,0.6237999999999999,0.7114,0.1382572873377496
lattice,conflict,0,0.0041228612657184084,0,0.5044000000000001,0.522,0.2941714781854854
lattice,conflict,0,0.0041228612657184084,20,0.5006,0.5176000000000001,0.16795726440766556
lattice,conflict,0,0.0041228612657184084,40,0.5075999999999999,0.5464,0.11649405936489983
lattice,conflict,0,0.0041228612657184084,60,0.5055999999999999,0.5720000000000001,0.08998581261433017
lattice,conflict,0,0.0041228612657184084,80,0.5294000000000001,0.6038,0.07623970035653595
lattice,conflict,0,0.0041228612657184084,100,0.5004,0.5496,0.07023405661663379
lattice,conflict,0,0.0041228612657184084,120,0.4868,0.5276000000000001,0.060253671268546534
lattice,conflict,0,0.0041228612657184084,140,0.483,0.5366000000000001,0.056851998450435
lattice,conflict,0,0.0041228612657184084,160,0.4916,0.5586,0.05329707552679079
lattice,conflict,0,0.0041228612657184084,180,0.5072,0.5882000000000001,0.053048785717322966
lattice,conflict,0,0.0041228612657184084,200,0.5122,0.5902000000000001,0.052080738221887614
lattice,conflict,1,0.0041228612657184084,0,0.4978000000000001,0.5396,0.2846610433732736
lattice,conflict,1,0.0041228612657184084,20,0.5104000000000001,0.5945999999999999,0.16372313140993722
lattice,conflict,1,0.0041228612657184084,40,0.529,0.6205999999999999,0.11919792508688046
